#             |P|               []
   8.09313986e-03   5.97331000e-01
   1.09688558e-02   5.96672000e-01
   3.73106646e-03   5.96351000e-01
   2.73082538e-02   5.97538000e-01
   9.21406214e-03   5.97406000e-01
   2.53736847e-02   5.97271000e-01
   3.54055505e-03   5.97197000e-01
   5.77732286e-03   5.97319000e-01
   1.62963399e-02   5.97177000e-01
   1.04675232e-02   5.97262000e-01
   1.54082713e-02   5.96547000e-01
   5.17417962e-03   5.97615000e-01
   5.38812690e-03   5.97079000e-01
   1.87635737e-02   5.97122000e-01
   5.52276629e-03   5.97317000e-01
   1.50016002e-02   5.97200000e-01
   7.15981948e-03   5.97628000e-01
   1.29041574e-02   5.96858000e-01
   1.78044043e-02   5.96736000e-01
   2.60384040e-02   5.96822000e-01
   9.29358592e-03   5.96690000e-01
   4.50368948e-03   5.97113000e-01
   4.46153767e-03   5.96492000e-01
   7.10852005e-03   5.97895000e-01
   8.40371951e-03   5.96222000e-01
   1.51951123e-02   5.96353000e-01
   3.79444531e-03   5.96942000e-01
   7.92285046e-03   5.97059000e-01
   3.27985394e-03   5.96986000e-01
   2.37214786e-02   5.97321000e-01
   2.71175906e-03   5.96338000e-01
   2.34144263e-02   5.97480000e-01
   3.58810201e-02   5.97249000e-01
   2.93967836e-03   5.96929000e-01
   3.36167582e-03   5.96889000e-01
   1.47960926e-02   5.96573000e-01
   4.95514693e-03   5.96310000e-01
   1.10468300e-02   5.96876000e-01
   1.73948835e-02   5.97045000e-01
   8.15334389e-03   5.96782000e-01
   2.36966603e-02   5.97237000e-01
   5.27729475e-03   5.96979000e-01
   2.81767168e-03   5.96968000e-01
   9.02418603e-03   5.97411000e-01
   4.22779656e-03   5.96651000e-01
   1.44336372e-03   5.96663000e-01
   1.46381403e-02   5.96920000e-01
   2.26773761e-03   5.96980000e-01
   6.62494303e-03   5.96667000e-01
   5.53111256e-03   5.97710000e-01
   1.20495145e-02   5.95885000e-01
   2.00232542e-03   5.96847000e-01
   2.80975405e-03   5.97233000e-01
   6.80536550e-03   5.96757000e-01
   1.34044530e-02   5.96938000e-01
   1.57210698e-02   5.97301000e-01
   1.16826961e-02   5.96313000e-01
   1.59257975e-02   5.95981000e-01
   5.94390061e-03   5.96729000e-01
   2.84696771e-02   5.97533000e-01
   1.38517078e-02   5.96577000e-01
   4.57836405e-03   5.96717000e-01
   9.04144599e-03   5.96538000e-01
   6.35007630e-03   5.96290000e-01
   1.34966372e-02   5.96598000e-01
   1.46286324e-02   5.96606000e-01
   1.30036985e-02   5.96335000e-01
   2.80498258e-03   5.96428000e-01
   1.15148877e-02   5.96969000e-01
   4.75259830e-03   5.96230000e-01
   2.69608527e-03   5.96761000e-01
   1.56714609e-02   5.96851000e-01
   7.04906608e-03   5.96783000e-01
   1.22816858e-02   5.97412000e-01
   6.43938352e-03   5.97402000e-01
   5.64947701e-03   5.96680000e-01
   5.39792203e-03   5.97322000e-01
   1.71101776e-03   5.97009000e-01
   7.83585241e-03   5.97519000e-01
   1.76347901e-02   5.97251000e-01
   6.40776440e-03   5.97641000e-01
   1.08479629e-02   5.96927000e-01
   2.01178735e-02   5.96916000e-01
   2.39477039e-02   5.96890000e-01
   2.07780626e-02   5.96167000e-01
   6.46011189e-03   5.96131000e-01
   8.94512385e-03   5.96871000e-01
   2.07893617e-03   5.97395000e-01
   1.21738709e-02   5.97315000e-01
   1.22393284e-02   5.96853000e-01
   1.10100282e-02   5.96810000e-01
   1.27603338e-02   5.97492000e-01
   9.31770354e-03   5.97164000e-01
   2.11482391e-03   5.97640000e-01
   1.98950594e-02   5.96952000e-01
   2.44101663e-02   5.97090000e-01
   1.94987862e-02   5.97559000e-01
   1.48016572e-02   5.97150000e-01
   8.31000663e-03   5.96451000e-01
   1.70034619e-03   5.97796000e-01
   2.56751420e-02   5.97576000e-01
   3.54791626e-03   5.96502000e-01
   1.01826863e-02   5.97750000e-01
   3.41999963e-02   5.96623000e-01
   1.28553190e-02   5.96282000e-01
   5.40093558e-03   5.97297000e-01
   1.61819741e-02   5.97060000e-01
   3.87837302e-03   5.96997000e-01
   1.82061247e-02   5.96907000e-01
   8.27894073e-03   5.97327000e-01
   1.08247193e-02   5.96875000e-01
   2.28216007e-03   5.96842000e-01
   1.83234069e-03   5.97854000e-01
   5.63963253e-03   5.96925000e-01
   3.90007426e-03   5.96545000e-01
   8.19368070e-03   5.97169000e-01
   1.50716109e-02   5.97237000e-01
   1.51432689e-02   5.97215000e-01
   5.08807433e-03   5.96197000e-01
   1.81720078e-02   5.96825000e-01
   2.84047976e-03   5.97166000e-01
   2.59106979e-02   5.96777000e-01
   5.20850627e-03   5.96666000e-01
   3.96858955e-03   5.96704000e-01
   6.09975109e-03   5.96910000e-01
   9.86577842e-03   5.96932000e-01
   1.99291850e-02   5.97035000e-01
   4.45642724e-03   5.96756000e-01
   3.49097456e-03   5.96967000e-01
   8.07017050e-03   5.96647000e-01
   1.21638652e-02   5.97100000e-01
   1.33710067e-02   5.96937000e-01
   1.18261910e-02   5.97337000e-01
   1.65282385e-02   5.97747000e-01
   1.74302856e-03   5.97588000e-01
   1.52146142e-02   5.97118000e-01
   1.68929861e-02   5.96934000e-01
   3.33066156e-03   5.96511000e-01
   4.55217869e-03   5.97188000e-01
   1.74809892e-02   5.97761000e-01
   3.47361998e-03   5.97131000e-01
   2.20198614e-03   5.96686000e-01
   9.18083327e-03   5.97182000e-01
   1.25429096e-02   5.96220000e-01
   4.86591835e-03   5.96439000e-01
   7.60351785e-03   5.96675000e-01
   1.17251160e-02   5.97002000e-01
   4.63346244e-03   5.97470000e-01
   4.79236869e-03   5.96258000e-01
   1.19440861e-03   5.96470000e-01
   7.67343560e-03   5.96639000e-01
   1.12811171e-02   5.96849000e-01
   6.29392067e-03   5.96427000e-01
   6.40720966e-03   5.97371000e-01
   7.04324653e-03   5.97315000e-01
   2.99593712e-02   5.97189000e-01
   8.84643332e-03   5.96751000e-01
   3.79896822e-02   5.97528000e-01
   6.91564938e-03   5.96853000e-01
   3.47126695e-03   5.96660000e-01
   2.42486388e-02   5.97368000e-01
   7.78479901e-03   5.96755000e-01
   3.20303914e-03   5.96955000e-01
   7.04131943e-03   5.96911000e-01
   1.25738038e-02   5.97098000e-01
   9.01750956e-03   5.96935000e-01
   7.18127705e-03   5.97565000e-01
   5.91947748e-03   5.96441000e-01
   2.27920264e-02   5.97087000e-01
   3.15538538e-03   5.97346000e-01
   9.87562102e-03   5.97265000e-01
   9.41732444e-03   5.96581000e-01
   7.23868882e-03   5.96394000e-01
   2.52653473e-02   5.97933000e-01
   2.24158569e-02   5.97285000e-01
   2.13876198e-02   5.97486000e-01
   1.06637917e-02   5.97072000e-01
   8.84768555e-03   5.96618000e-01
   1.05875409e-02   5.96899000e-01
   5.62687377e-03   5.96580000e-01
   1.21518233e-02   5.97179000e-01
   9.80101110e-03   5.96600000e-01
