#          |P|               []
   3.86890844e-03   6.44326000e-01
   4.84706187e-03   6.44425000e-01
   3.33870223e-03   6.44300000e-01
   3.20572823e-03   6.44372000e-01
   5.65664727e-03   6.44378000e-01
   4.82543140e-03   6.44474000e-01
   3.23057307e-03   6.44393000e-01
   4.40652199e-03   6.44229000e-01
   4.32682585e-03   6.44272000e-01
   5.56049622e-03   6.44382000e-01
   5.10845705e-03   6.44299000e-01
   4.95184728e-03   6.44354000e-01
   4.61097292e-03   6.44418000e-01
   5.08947553e-03   6.44307000e-01
   4.56916201e-03   6.44455000e-01
   5.79190479e-03   6.44266000e-01
   5.15216375e-03   6.44356000e-01
   3.81340058e-03   6.44324000e-01
   3.76902892e-03   6.44347000e-01
   2.69566656e-03   6.44410000e-01
   2.95663093e-03   6.44247000e-01
   2.30780143e-03   6.44288000e-01
   3.50020600e-03   6.44389000e-01
   5.57585894e-03   6.44485000e-01
   5.57027251e-03   6.44448000e-01
   4.47823915e-03   6.44224000e-01
   6.06298735e-03   6.44297000e-01
   5.29582010e-03   6.44331000e-01
   3.11543468e-03   6.44289000e-01
   3.40707362e-03   6.44266000e-01
   4.08949469e-03   6.44359000e-01
   3.80158791e-03   6.44427000e-01
   5.56624133e-03   6.44329000e-01
   5.25043344e-03   6.44195000e-01
   4.22164895e-03   6.44220000e-01
   2.47947627e-03   6.44277000e-01
   4.96763024e-03   6.44253000e-01
   5.26774712e-03   6.44358000e-01
   5.22592289e-03   6.44328000e-01
   3.70944928e-03   6.44418000e-01
   4.28860129e-03   6.44320000e-01
   5.28059294e-03   6.44327000e-01
   5.09685272e-03   6.44230000e-01
   5.26505630e-03   6.44387000e-01
   3.72719289e-03   6.44257000e-01
   3.57748534e-03   6.44364000e-01
   5.05967643e-03   6.44274000e-01
   2.85592156e-03   6.44393000e-01
   5.08229793e-03   6.44356000e-01
   3.76250599e-03   6.44277000e-01
   5.02086933e-03   6.44452000e-01
   4.17420055e-03   6.44340000e-01
   3.51890994e-03   6.44284000e-01
   4.06972124e-03   6.44269000e-01
